converted_country_name,discipline_title,medal_type,medal_count
Germany,Shooting,GOLD,18
Germany,Weightlifting,BRONZE,18
South Korea,Judo,BRONZE,18
Netherlands,Judo,BRONZE,18
France,Alpine Skiing,BRONZE,18
Russia,Fencing,BRONZE,17
Hungary,Fencing,BRONZE,17
Japan,Wrestling,BRONZE,17
Netherlands,Swimming,GOLD,17
Russia,Swimming,GOLD,17
Bulgaria,Weightlifting,SILVER,17
Hungary,Wrestling,SILVER,17
Germany,Alpine Skiing,GOLD,17
France,Alpine Skiing,SILVER,17
Cuba,Athletics,BRONZE,17
Finland,Cross Country Skiing,GOLD,17
South Korea,Judo,SILVER,17
Brazil,Judo,BRONZE,17
United States,Snowboard,GOLD,17
Sweden,Cross Country Skiing,BRONZE,17
United States,Alpine Skiing,GOLD,17
United States,Weightlifting,SILVER,17
Cuba,Judo,BRONZE,16
United Kingdom,Swimming,GOLD,16
Hungary,Athletics,BRONZE,16
Norway,Sailing,GOLD,16
Sweden,Shooting,SILVER,16
Bulgaria,Wrestling,GOLD,16
United Kingdom,Cycling Track,SILVER,16
France,Swimming,BRONZE,16
United States,Figure skating,GOLD,16
Poland,Athletics,SILVER,16
China,Weightlifting,SILVER,16
France,Alpine Skiing,GOLD,16
Poland,Athletics,BRONZE,16
South Korea,Short Track Speed Skating,GOLD,16
China,Swimming,SILVER,16
United States,Weightlifting,GOLD,16
China,Shooting,SILVER,16
Canada,Speed skating,BRONZE,16
Switzerland,Gymnastics Artistic,SILVER,16
Italy,Shooting,SILVER,16
Canada,Swimming,BRONZE,16
Germany,Gymnastics Artistic,GOLD,16
Italy,Shooting,GOLD,16
Romania,Gymnastics Artistic,SILVER,16
France,Cycling Track,SILVER,16
Czechia,Athletics,GOLD,16
Australia,Cycling Track,SILVER,15
France,Sailing,BRONZE,15
Switzerland,Gymnastics Artistic,GOLD,15
United States,Figure skating,BRONZE,15
Italy,Boxing,SILVER,15
Italy,Boxing,GOLD,15
Romania,Boxing,BRONZE,15
China,Gymnastics Artistic,SILVER,15
Germany,Cycling Track,BRONZE,15
China,Swimming,GOLD,15
United Kingdom,Boxing,SILVER,15
France,Judo,GOLD,15
China,Table Tennis,GOLD,15
China,Athletics,BRONZE,15
Cuba,Judo,SILVER,15
Iran,Wrestling,SILVER,15
Hungary,Fencing,SILVER,15
United Kingdom,Shooting,BRONZE,15
Canada,Swimming,SILVER,14
Italy,Alpine Skiing,GOLD,14
China,Table Tennis,SILVER,14
Romania,Athletics,SILVER,14
China,Gymnastics Artistic,BRONZE,14
Canada,Speed skating,SILVER,14
Germany,Boxing,SILVER,14
Italy,Athletics,SILVER,14
Norway,Biathlon,BRONZE,14
Germany,Alpine Skiing,SILVER,14
Canada,Athletics,SILVER,14
Norway,Alpine Skiing,SILVER,14
Hungary,Gymnastics Artistic,GOLD,14
Norway,Alpine Skiing,BRONZE,14
Canada,Athletics,GOLD,14
South Korea,Wrestling,BRONZE,14
Netherlands,Swimming,BRONZE,14
New Zealand,Athletics,BRONZE,13
United States,Freestyle Skiing,SILVER,13
Azerbaijan,Wrestling,BRONZE,13
Russia,Fencing,SILVER,13
France,Swimming,SILVER,13
Italy,Swimming,BRONZE,13
Sweden,Shooting,BRONZE,13
Germany,Shooting,BRONZE,13
France,Judo,SILVER,13
Hungary,Canoe Sprint,GOLD,13
Germany,Canoe Sprint,GOLD,13
United States,Archery,GOLD,13
France,Cycling Track,BRONZE,13
Australia,Cycling Track,BRONZE,13
Russia,Fencing,GOLD,13
Netherlands,Cycling Track,SILVER,13
France,Athletics,GOLD,13
Switzerland,Gymnastics Artistic,BRONZE,13
Italy,Cycling Track,GOLD,13
Sweden,Swimming,SILVER,13
Germany,Weightlifting,SILVER,13
Czechia,Athletics,BRONZE,13
Finland,Boxing,BRONZE,13
Germany,Biathlon,BRONZE,13
Poland,Wrestling,BRONZE,13
United States,Figure skating,SILVER,12
China,Short Track Speed Skating,SILVER,12
Canada,Freestyle Skiing,GOLD,12
Hungary,Athletics,SILVER,12
China,Athletics,SILVER,12
Netherlands,Swimming,SILVER,12
South Korea,Short Track Speed Skating,SILVER,12
Hungary,Canoe Sprint,SILVER,12
Canada,Freestyle Skiing,SILVER,12
China,Badminton,GOLD,12
Germany,Rowing,BRONZE,12
United States,Rowing,SILVER,12
United States,Sailing,BRONZE,12
Germany,Cycling Track,GOLD,12
South Korea,Taekwondo,GOLD,12
Bulgaria,Weightlifting,GOLD,12
Greece,Athletics,SILVER,12
Norway,Biathlon,SILVER,12
United Kingdom,Judo,BRONZE,12
United States,Cycling Track,BRONZE,12
United States,Cycling Track,SILVER,12
