converted_country_name,discipline_title,medal_type,medal_count
Sweden,Biathlon,GOLD,5
Sweden,Speed skating,BRONZE,5
Sweden,Boxing,SILVER,5
Russia,Figure skating,BRONZE,5
Bulgaria,Athletics,GOLD,5
South Korea,Speed skating,GOLD,5
Iran,Weightlifting,BRONZE,5
Sweden,Figure skating,GOLD,5
Bulgaria,Boxing,GOLD,5
Germany,Figure skating,GOLD,5
Germany,Judo,GOLD,5
Denmark,Boxing,SILVER,5
France,Taekwondo,BRONZE,5
South Korea,Speed skating,BRONZE,5
Denmark,Canoe Sprint,BRONZE,5
China,Wrestling,SILVER,5
Bulgaria,Boxing,SILVER,5
India,Wrestling,BRONZE,5
Sweden,Canoe Sprint,GOLD,5
Unified Team,Gymnastics Artistic,SILVER,5
Ireland,Boxing,SILVER,5
France,Snowboard,SILVER,5
Latvia,Athletics,SILVER,4
Germany,Equestrian Jumping,GOLD,4
Germany,Figure skating,SILVER,4
Japan,Freestyle Skiing,BRONZE,4
Malaysia,Badminton,SILVER,4
Romania,Fencing,GOLD,4
Russia,Archery,BRONZE,4
Finland,Swimming,BRONZE,4
Romania,Rowing,GOLD,4
Mongolia,Boxing,BRONZE,4
Morocco,Boxing,BRONZE,4
Romania,Shooting,SILVER,4
Romania,Swimming,BRONZE,4
Netherlands,Judo,GOLD,4
Kazakhstan,Weightlifting,SILVER,4
Germany,Cycling Road,BRONZE,4
Russia,Artistic Gymnastics,BRONZE,4
Mongolia,Judo,SILVER,4
Germany,Sailing,GOLD,4
Japan,Figure skating,SILVER,4
Mongolia,Wrestling,SILVER,4
Russia,Archery,SILVER,4
Germany,Snowboard,SILVER,4
France,Snowboard,GOLD,4
Japan,Figure skating,BRONZE,4
Italy,Diving,SILVER,4
France,Wrestling,SILVER,4
Italy,Judo,SILVER,4
Italy,Judo,GOLD,4
Italy,Gymnastics Artistic,SILVER,4
France,Wrestling,GOLD,4
Italy,Equestrian Jumping,SILVER,4
Italy,Equestrian Jumping,GOLD,4
France,Tennis,SILVER,4
France,Tennis,GOLD,4
Italy,Cycling Road,SILVER,4
Georgia,Judo,GOLD,4
Indonesia,Badminton,SILVER,4
Italy,Canoe Sprint,SILVER,4
Italy,Biathlon,BRONZE,4
Norway,Snowboard,SILVER,4
Norway,Freestyle Skiing,BRONZE,4
Norway,Freestyle Skiing,GOLD,4
Ireland,Athletics,GOLD,4
France,Snowboard,BRONZE,4
Germany,Equestrian Eventing,GOLD,4
Russia,Gymnastics Rhythmic,SILVER,4
Norway,Wrestling,GOLD,4
Greece,Shooting,GOLD,4
Russia,Luge,SILVER,4
France,Canoe Sprint,BRONZE,4
Greece,Weightlifting,BRONZE,4
Russia,Sailing,BRONZE,4
France,Cycling Mountain Bike,GOLD,4
France,Cycling Road,GOLD,4
France,Cycling Road,SILVER,4
Italy,Wrestling,SILVER,4
Russia,Modern Pentathlon,SILVER,4
France,Equestrian Dressage,SILVER,4
France,Equestrian Jumping,BRONZE,4
Philippines,Boxing,BRONZE,4
Poland,Ski Jumping,GOLD,4
Russia,Luge,BRONZE,4
Poland,Shooting,GOLD,4
Nigeria,Athletics,BRONZE,4
Hungary,Modern Pentathlon,BRONZE,4
Italy,Speed skating,BRONZE,4
Italy,Short Track Speed Skating,SILVER,4
North Korea,Judo,BRONZE,4
Philippines,Boxing,SILVER,4
Portugal,Athletics,BRONZE,4
Zimbabwe,Swimming,SILVER,4
Denmark,Swimming,SILVER,4
Brazil,Judo,GOLD,4
Czechia,Tennis,BRONZE,4
Austria,Snowboard,BRONZE,4
Ukraine,Wrestling,GOLD,4
Brazil,Swimming,SILVER,4
Sweden,Modern Pentathlon,BRONZE,4
Colombia,Weightlifting,SILVER,4
Sweden,Speed skating,SILVER,4
Colombia,Boxing,BRONZE,4
Unified Team,Cross Country Skiing,BRONZE,4
Denmark,Athletics,SILVER,4
Denmark,Badminton,BRONZE,4
Austria,Swimming,BRONZE,4
Trinidad and Tobago,Athletics,SILVER,4
Denmark,Cycling Road,SILVER,4
South Korea,Gymnastics Artistic,SILVER,4
Bulgaria,Canoe Sprint,SILVER,4
South Korea,Gymnastics Artistic,BRONZE,4
South Korea,Fencing,GOLD,4
Unified Team,Gymnastics Artistic,BRONZE,4
Denmark,Sailing,BRONZE,4
Denmark,Shooting,BRONZE,4
Austria,Weightlifting,SILVER,4
Sweden,Weightlifting,BRONZE,4
Brazil,Boxing,BRONZE,4
Thailand,Boxing,SILVER,4
Argentina,Sailing,SILVER,4
Thailand,Boxing,GOLD,4
United States,Judo,SILVER,4
United Kingdom,Wrestling,SILVER,4
South Africa,Swimming,BRONZE,4
Bulgaria,Canoe Sprint,GOLD,4
Ukraine,Swimming,GOLD,4
China,Speed skating,BRONZE,4
Ukraine,Boxing,GOLD,4
Austria,Figure skating,BRONZE,4
Uganda,Athletics,GOLD,4
Cuba,Fencing,GOLD,4
Finland,Ski Jumping,BRONZE,4
Sweden,Biathlon,BRONZE,4
Czechia,Biathlon,SILVER,4
Spain,Swimming,BRONZE,4
Canada,Alpine Skiing,GOLD,4
Austria,Luge,GOLD,4
Czechia,Canoe Slalom,GOLD,4
Czechia,Canoe Slalom,SILVER,4
Armenia,Wrestling,SILVER,4
Czechia,Canoe Sprint,GOLD,4
Croatia,Taekwondo,BRONZE,4
Ukraine,Boxing,SILVER,4
Canada,Diving,SILVER,4
Armenia,Weightlifting,SILVER,4
Sweden,Equestrian Dressage,BRONZE,4
Sweden,Equestrian Dressage,GOLD,4
Bulgaria,Shooting,GOLD,4
Ukraine,Fencing,BRONZE,4
United States,Cycling Road,SILVER,4
Uzbekistan,Wrestling,BRONZE,4
United States,Equestrian Eventing,BRONZE,4
Ukraine,Gymnastics Rhythmic,BRONZE,4
Australia,Canoe Sprint,BRONZE,4
Ukraine,Shooting,GOLD,4
Canada,Diving,BRONZE,4
Croatia,Alpine Skiing,GOLD,4
United States,Fencing,GOLD,4
South Africa,Boxing,SILVER,4
Unified Team,Weightlifting,SILVER,4
United Kingdom,Canoe Sprint,BRONZE,4
United Kingdom,Weightlifting,SILVER,4
Switzerland,Wrestling,GOLD,4
China,Fencing,GOLD,4
Australia,Freestyle Skiing,GOLD,4
Yugoslavia,Wrestling,GOLD,4
Slovakia,Canoe Slalom,SILVER,4
Belgium,Cycling Road,BRONZE,4
Australia,Sailing,GOLD,4
Australia,Sailing,BRONZE,4
United States,Skeleton,SILVER,4
Belarus,Weightlifting,SILVER,4
Estonia,Wrestling,BRONZE,4
United States,Short Track Speed Skating,GOLD,4
United Kingdom,Rowing,BRONZE,4
Algeria,Athletics,GOLD,4
Belarus,Shooting,BRONZE,4
Belarus,Gymnastics Artistic,BRONZE,4
Russia,Tennis,GOLD,4
United Kingdom,Taekwondo,BRONZE,4
Finland,Gymnastics Artistic,SILVER,4
Belarus,Freestyle Skiing,GOLD,4
Australia,Rowing,GOLD,4
Switzerland,Snowboard,BRONZE,4
Belarus,Biathlon,SILVER,4
Belarus,Biathlon,GOLD,4
Switzerland,Ski Jumping,GOLD,4
Finland,Sailing,BRONZE,4
Finland,Shooting,GOLD,4
Switzerland,Wrestling,SILVER,4
Australia,Boxing,BRONZE,4
United Kingdom,Equestrian Eventing,BRONZE,4
Taiwan,Weightlifting,GOLD,4
Egypt,Taekwondo,BRONZE,4
Belgium,Sailing,SILVER,4
Bahamas,Athletics,BRONZE,4
United Kingdom,Figure skating,BRONZE,4
Canada,Shooting,GOLD,4
Azerbaijan,Wrestling,GOLD,4
Switzerland,Cross Country Skiing,GOLD,4
United Kingdom,Figure skating,GOLD,4
China,Freestyle Skiing,BRONZE,4
Estonia,Cross Country Skiing,GOLD,4
Taiwan,Weightlifting,BRONZE,4
Japan,Nordic Combined,SILVER,3
Greece,Cycling Track,SILVER,3
Poland,Shooting,SILVER,3
Canada,Canoe Sprint,GOLD,3
Japan,Snowboard,BRONZE,3
Japan,Shooting,BRONZE,3
Canada,Boxing,GOLD,3
Thailand,Taekwondo,BRONZE,3
Hungary,Judo,SILVER,3
Türkiye,Taekwondo,SILVER,3
Türkiye,Karate,BRONZE,3
Japan,Figure skating,GOLD,3
Canada,Trampoline,SILVER,3
Canada,Rowing,SILVER,3
United States,Modern Pentathlon,SILVER,3
Greece,Wrestling,SILVER,3
Portugal,Athletics,SILVER,3
United States,Golf,SILVER,3
Poland,Swimming,SILVER,3
Romania,Judo,BRONZE,3
Switzerland,Swimming,BRONZE,3
Greece,Shooting,SILVER,3
Greece,Sailing,GOLD,3
Romania,Canoe Sprint,GOLD,3
Austria,Cross Country Skiing,BRONZE,3
Canada,Short Track,BRONZE,3
Greece,Swimming,SILVER,3
Portugal,Judo,BRONZE,3
Trinidad and Tobago,Athletics,GOLD,3
Australia,Snowboard,SILVER,3
United States,Equestrian Jumping,BRONZE,3
Romania,Fencing,SILVER,3
Poland,Ski Jumping,SILVER,3
Greece,Gymnastics Artistic,SILVER,3
Canada,Cycling Track,BRONZE,3
Japan,Ski Jumping,BRONZE,3
Netherlands,Weightlifting,BRONZE,3
Japan,Ski Jumping,GOLD,3
Poland,Ski Jumping,BRONZE,3
Türkiye,Boxing,BRONZE,3
Türkiye,Boxing,SILVER,3
Greece,Taekwondo,SILVER,3
Japan,Skateboarding,GOLD,3
New Zealand,Cycling Track,SILVER,3
Poland,Sailing,BRONZE,3
North Korea,Boxing,BRONZE,3
Belgium,Cycling Track,SILVER,3
United Kingdom,Gymnastics Artistic,SILVER,3
Belgium,Equestrian Jumping,BRONZE,3
North Korea,Gymnastics Artistic,GOLD,3
Italy,Short Track Speed Skating,BRONZE,3
North Korea,Boxing,SILVER,3
United Kingdom,Equestrian Jumping,BRONZE,3
Norway,Canoe Sprint,SILVER,3
Nigeria,Boxing,SILVER,3
Poland,Rowing,BRONZE,3
Belgium,Rowing,SILVER,3
Belgium,Sailing,BRONZE,3
Nigeria,Boxing,BRONZE,3
Norway,Figure skating,GOLD,3
Italy,Archery,BRONZE,3
Belgium,Shooting,BRONZE,3
Belgium,Shooting,SILVER,3
United Kingdom,Canoe Sprint,GOLD,3
Belgium,Cycling Track,GOLD,3
Belgium,Cycling Track,BRONZE,3
Belgium,Cycling Road,SILVER,3
Italy,Cycling Road,BRONZE,3
Belarus,Biathlon,BRONZE,3
Italy,Luge,SILVER,3
United Kingdom,Taekwondo,SILVER,3
North Korea,Wrestling,GOLD,3
United Kingdom,Skeleton,GOLD,3
United Kingdom,Rugby,SILVER,3
Italy,Sailing,GOLD,3
Belarus,Weightlifting,BRONZE,3
Italy,Sailing,SILVER,3
Belgium,Archery,BRONZE,3
Belgium,Athletics,BRONZE,3
United Kingdom,Modern Pentathlon,GOLD,3
Italy,Diving,GOLD,3
Italy,Diving,BRONZE,3
United Kingdom,Triathlon,SILVER,3
United Kingdom,Weightlifting,BRONZE,3
Italy,Cycling Track,BRONZE,3
United Kingdom,Wrestling,GOLD,3
Belgium,Wrestling,SILVER,3
Ireland,Swimming,GOLD,3
Ukraine,Judo,BRONZE,3
Bulgaria,Rowing,BRONZE,3
Ukraine,Gymnastics Artistic,BRONZE,3
Independent Olympic Athletes,Shooting,BRONZE,3
Japan,Boxing,GOLD,3
Ukraine,Canoe Sprint,SILVER,3
Japan,Cycling Track,BRONZE,3
Ukraine,Canoe Sprint,GOLD,3
Ukraine,Canoe Sprint,BRONZE,3
Poland,Fencing,GOLD,3
New Zealand,Athletics,SILVER,3
Hungary,Shooting,SILVER,3
Ukraine,Biathlon,BRONZE,3
Ukraine,Athletics,SILVER,3
Poland,Judo,GOLD,3
Poland,Judo,SILVER,3
Uganda,Boxing,SILVER,3
Austria,Judo,SILVER,3
Canada,Wrestling,GOLD,3
Ukraine,Shooting,BRONZE,3
Norway,Sailing,BRONZE,3
India,Boxing,BRONZE,3
United Kingdom,Archery,BRONZE,3
New Zealand,Swimming,BRONZE,3
Ireland,Boxing,GOLD,3
Norway,Shooting,SILVER,3
Austria,Weightlifting,GOLD,3
Brazil,Judo,SILVER,3
Austria,Speed skating,BRONZE,3
Brazil,Skateboarding,SILVER,3
Iran,Taekwondo,BRONZE,3
Unified Team,Athletics,BRONZE,3
United States,Canoe Sprint,BRONZE,3
Ukraine,Swimming,SILVER,3
Japan,Archery,SILVER,3
New Zealand,Rowing,BRONZE,3
New Zealand,Equestrian Eventing,GOLD,3
Austria,Sailing,SILVER,3
New Zealand,Equestrian Eventing,BRONZE,3
Japan,Snowboard,SILVER,3
China,Artistic Gymnastics,GOLD,3
Ghana,Boxing,BRONZE,3
South Korea,Short Track,GOLD,3
Czechia,Tennis,SILVER,3
South Korea,Swimming,SILVER,3
Czechia,Weightlifting,BRONZE,3
France,Tennis,BRONZE,3
France,Taekwondo,SILVER,3
Czechia,Weightlifting,GOLD,3
Denmark,Athletics,BRONZE,3
Denmark,Canoe Sprint,SILVER,3
Denmark,Fencing,BRONZE,3
France,Weightlifting,BRONZE,3
Denmark,Rowing,BRONZE,3
South Korea,Boxing,GOLD,3
France,Rowing,SILVER,3
Denmark,Swimming,GOLD,3
South Korea,Badminton,SILVER,3
South Korea,Badminton,GOLD,3
South Korea,Badminton,BRONZE,3
Denmark,Wrestling,SILVER,3
South Korea,Table Tennis,BRONZE,3
France,Weightlifting,SILVER,3
France,Gymnastics Artistic,GOLD,3
Georgia,Wrestling,GOLD,3
Germany,Bobsleigh,GOLD,3
Spain,Cycling Track,GOLD,3
Spain,Cycling Mountain Bike,BRONZE,3
Czechia,Fencing,BRONZE,3
Czechia,Figure skating,BRONZE,3
Spain,Canoe Sprint,GOLD,3
Spain,Athletics,GOLD,3
South Korea,Weightlifting,GOLD,3
Czechia,Rowing,SILVER,3
Czechia,Speed skating,GOLD,3
Czechia,Ski Jumping,BRONZE,3
Georgia,Weightlifting,GOLD,3
Georgia,Weightlifting,BRONZE,3
United States,Short Track Speed Skating,SILVER,3
Czechia,Snowboard,GOLD,3
Georgia,Judo,BRONZE,3
Venezuela,Boxing,SILVER,3
Czechia,Speed skating,BRONZE,3
Dominican Republic,Athletics,SILVER,3
Egypt,Boxing,BRONZE,3
Spain,Judo,GOLD,3
Mexico,Athletics,GOLD,3
Slovakia,Canoe Slalom,BRONZE,3
Mexico,Boxing,SILVER,3
Slovakia,Biathlon,SILVER,3
France,Canoe Slalom,SILVER,3
Estonia,Weightlifting,BRONZE,3
Slovakia,Biathlon,GOLD,3
Estonia,Weightlifting,SILVER,3
Algeria,Athletics,SILVER,3
Latvia,Luge,BRONZE,3
Argentina,Athletics,SILVER,3
Malaysia,Badminton,BRONZE,3
MIX,Tennis,BRONZE,3
Russia,Taekwondo,SILVER,3
Russia,Taekwondo,BRONZE,3
Finland,Nordic Combined,GOLD,3
Finland,Rowing,GOLD,3
Lithuania,Modern Pentathlon,SILVER,3
Lithuania,Athletics,GOLD,3
Estonia,Judo,BRONZE,3
Mexico,Taekwondo,BRONZE,3
Yugoslavia,Boxing,GOLD,3
Egypt,Wrestling,SILVER,3
France,Freestyle Skiing,GOLD,3
Slovenia,Snowboard,BRONZE,3
Yugoslavia,Gymnastics Artistic,BRONZE,3
Kosovo,Judo,GOLD,3
Slovenia,Judo,BRONZE,3
Egypt,Weightlifting,SILVER,3
Egypt,Wrestling,BRONZE,3
Kuwait,Shooting,BRONZE,3
Mexico,Weightlifting,BRONZE,3
Slovakia,Shooting,BRONZE,3
Estonia,Athletics,BRONZE,3
Kyrgyz Republic,Wrestling,BRONZE,3
Russia,Nordic Combined,BRONZE,3
Kyrgyz Republic,Wrestling,SILVER,3
Slovenia,Alpine Skiing,SILVER,3
Slovenia,Alpine Skiing,BRONZE,3
France,Cycling Road,BRONZE,3
Russia,Rowing,SILVER,3
Armenia,Wrestling,BRONZE,3
South Korea,Taekwondo,SILVER,3
Belarus,Athletics,GOLD,3
Australia,Freestyle Skiing,SILVER,3
Sweden,Tennis,BRONZE,3
Colombia,Athletics,SILVER,3
China,Fencing,SILVER,3
Colombia,Weightlifting,BRONZE,3
Japan,Weightlifting,SILVER,3
Sweden,Freestyle Skiing,BRONZE,3
Sweden,Figure skating,SILVER,3
Australia,Canoe Sprint,SILVER,3
Sweden,Equestrian Dressage,SILVER,3
Switzerland,Equestrian Dressage,GOLD,3
China,Cycling Track,BRONZE,3
Australia,Canoe Sprint,GOLD,3
Croatia,Athletics,GOLD,3
Germany,Figure skating,BRONZE,3
Sweden,Equestrian Eventing,GOLD,3
Sweden,Equestrian Eventing,BRONZE,3
Netherlands,Equestrian Eventing,GOLD,3
China,Figure skating,BRONZE,3
China,Trampoline,GOLD,3
Switzerland,Cycling Road,GOLD,3
China,Sailing,SILVER,3
Germany,Sailing,BRONZE,3
China,Sailing,GOLD,3
Australia,Diving,GOLD,3
Switzerland,Cycling Mountain Bike,BRONZE,3
Germany,Skeleton,SILVER,3
Japan,Synchronized Swimming,BRONZE,3
China,Judo,SILVER,3
Netherlands,Equestrian Jumping,SILVER,3
Germany,Nordic Combined,SILVER,3
China,Speed skating,SILVER,3
China,Taekwondo,BRONZE,3
United States,Taekwondo,GOLD,3
Germany,Canoe Slalom,SILVER,3
Switzerland,Cycling Road,BRONZE,3
Germany,Fencing,BRONZE,3
Germany,Table Tennis,BRONZE,3
China,Boxing,GOLD,3
North Korea,Table Tennis,BRONZE,3
Spain,Sailing,GOLD,3
Switzerland,Freestyle Skiing,SILVER,3
Switzerland,Freestyle Skiing,BRONZE,3
United States,Skeleton,GOLD,3
Czechia,Boxing,GOLD,3
Czechia,Biathlon,BRONZE,3
Netherlands,Cycling Road,BRONZE,3
Australasia,Swimming,BRONZE,3
Australasia,Swimming,SILVER,3
Germany,Equestrian Jumping,BRONZE,3
Cuba,Taekwondo,BRONZE,3
United States,Tennis,SILVER,3
Cuba,Shooting,BRONZE,3
Australia,Canoe Slalom,BRONZE,3
Germany,Sailing,SILVER,3
Romania,Weightlifting,BRONZE,3
Sweden,Cycling Road,BRONZE,3
Romania,Swimming,GOLD,3
China,Artistic Gymnastics,SILVER,3
Netherlands,Equestrian Dressage,GOLD,3
Netherlands,Marathon Swimming,GOLD,3
Sweden,Cycling Road,SILVER,3
Australia,Canoe Slalom,SILVER,3
United States,Synchronized Swimming,GOLD,2
United Kingdom,Triathlon,GOLD,2
Netherlands,Rowing,GOLD,2
United States,Skateboarding,BRONZE,2
North Korea,Boxing,GOLD,2
North Korea,Shooting,BRONZE,2
Mexico,Taekwondo,SILVER,2
Lithuania,Athletics,BRONZE,2
Netherlands,Judo,SILVER,2
Netherlands,Short Track,SILVER,2
Luxembourg,Alpine Skiing,SILVER,2
Mexico,Taekwondo,GOLD,2
North Korea,Judo,SILVER,2
Yugoslavia,Shooting,GOLD,2
Netherlands,Rowing,BRONZE,2
Netherlands,Short Track Speed Skating,GOLD,2
Luxembourg,Athletics,GOLD,2
Zimbabwe,Swimming,GOLD,2
United Kingdom,Triathlon,BRONZE,2
Mexico,Boxing,GOLD,2
Mexico,Athletics,BRONZE,2
North Korea,Judo,GOLD,2
MIX,Polo,BRONZE,2
Netherlands,Short Track Speed Skating,BRONZE,2
Uzbekistan,Boxing,SILVER,2
United States,Nordic Combined,SILVER,2
Uzbekistan,Wrestling,SILVER,2
Venezuela,Weightlifting,SILVER,2
United States,Cross Country Skiing,SILVER,2
United States,Cycling BMX,BRONZE,2
Venezuela,Taekwondo,BRONZE,2
United States,Taekwondo,SILVER,2
United States,Cycling BMX,SILVER,2
United States,Cycling Mountain Bike,BRONZE,2
Venezuela,Boxing,BRONZE,2
United States,Triathlon,BRONZE,2
United States,Cycling Road,BRONZE,2
United States,Equestrian Eventing,GOLD,2
Uzbekistan,Wrestling,GOLD,2
New Zealand,Cycling Track,BRONZE,2
Netherlands,Canoe Sprint,SILVER,2
New Zealand,Canoe Sprint,BRONZE,2
Netherlands,Canoe Sprint,BRONZE,2
Uzbekistan,Weightlifting,GOLD,2
Uzbekistan,Judo,SILVER,2
New Zealand,Boxing,BRONZE,2
Netherlands,Boxing,SILVER,2
United States,Canoe Sprint,GOLD,2
Netherlands,Equestrian Dressage,SILVER,2
Netherlands,Gymnastics Artistic,GOLD,2
United States,Artistic Gymnastics,BRONZE,2
Netherlands,Figure skating,SILVER,2
Moldova,Boxing,BRONZE,2
Yugoslavia,Judo,BRONZE,2
Yugoslavia,Gymnastics Artistic,SILVER,2
United States,Modern Pentathlon,BRONZE,2
Yugoslavia,Boxing,SILVER,2
Nigeria,Athletics,SILVER,2
Nigeria,Athletics,GOLD,2
Yugoslavia,Athletics,SILVER,2
United States,Artistic Gymnastics,GOLD,2
United States,Canoe Slalom,SILVER,2
New Zealand,Triathlon,BRONZE,2
United States,Judo,GOLD,2
New Zealand,Swimming,GOLD,2
Yugoslavia,Alpine Skiing,SILVER,2
United States,Football,BRONZE,2
West Indies Federation,Athletics,BRONZE,2
United States,Bobsleigh,SILVER,2
United States,Equestrian Jumping,GOLD,2
United States,Canoe Slalom,BRONZE,2
Mongolia,Boxing,SILVER,2
Russia,Snowboard,SILVER,2
United Kingdom,Taekwondo,GOLD,2
Switzerland,Rowing,BRONZE,2
Sweden,Curling,BRONZE,2
Sweden,Canoe Sprint,SILVER,2
Sweden,Canoe Marathon,GOLD,2
Sweden,Archery,SILVER,2
Sweden,Alpine Skiing,SILVER,2
Sri Lanka,Athletics,SILVER,2
Spain,Tennis,GOLD,2
Spain,Tennis,BRONZE,2
Spain,Swimming,SILVER,2
Spain,Swimming,GOLD,2
Spain,Shooting,SILVER,2
Spain,Sailing,SILVER,2
Spain,Sailing,BRONZE,2
Spain,Judo,BRONZE,2
Spain,Gymnastics Artistic,GOLD,2
Spain,Cycling Track,SILVER,2
Spain,Cycling Track,BRONZE,2
Spain,Cycling Road,GOLD,2
Spain,Canoe Sprint,BRONZE,2
Sweden,Cycling Road,GOLD,2
Sweden,Equestrian Eventing,SILVER,2
Sweden,Equestrian Jumping,BRONZE,2
Switzerland,Cycling Mountain Bike,GOLD,2
Switzerland,Figure skating,SILVER,2
Switzerland,Fencing,SILVER,2
Switzerland,Equestrian Jumping,GOLD,2
Romania,Swimming,SILVER,2
Romania,Weightlifting,GOLD,2
Switzerland,Equestrian Jumping,BRONZE,2
Switzerland,Equestrian Dressage,BRONZE,2
Switzerland,Cycling Road,SILVER,2
Switzerland,Cross Country Skiing,BRONZE,2
Sweden,Equestrian Jumping,SILVER,2
Switzerland,Bobsleigh,SILVER,2
Switzerland,Bobsleigh,GOLD,2
Switzerland,Beach Volleyball,BRONZE,2
Switzerland,Athletics,BRONZE,2
Russia,Artistic Gymnastics,SILVER,2
Sweden,Tennis,SILVER,2
Sweden,Freestyle Skiing,GOLD,2
Sweden,Figure skating,BRONZE,2
Spain,Boxing,SILVER,2
Spain,Boxing,BRONZE,2
Russia,Equestrian Dressage,BRONZE,2
Serbia,Taekwondo,GOLD,2
Russia,Sailing,GOLD,2
Russia,Sailing,SILVER,2
Russia,Short Track Speed Skating,BRONZE,2
Russia,Short Track Speed Skating,GOLD,2
Russia,Short Track Speed Skating,SILVER,2
Singapore,Table Tennis,BRONZE,2
Serbia and Montenegro,Shooting,SILVER,2
Serbia,Water Polo,GOLD,2
Serbia,Shooting,SILVER,2
Slovakia,Shooting,SILVER,2
Serbia,Shooting,BRONZE,2
Saudi Arabia,Equestrian Jumping,BRONZE,2
Russia,Trampoline,SILVER,2
Russia,Trampoline,GOLD,2
Russia,Taekwondo,GOLD,2
Russia,Skeleton,BRONZE,2
Russia,Snowboard,BRONZE,2
Russia,Snowboard,GOLD,2
Slovakia,Canoe Sprint,SILVER,2
Slovakia,Swimming,SILVER,2
Russia,Equestrian Dressage,GOLD,2
Slovenia,Ski Jumping,SILVER,2
Russia,Equestrian Dressage,SILVER,2
South Korea,Table Tennis,GOLD,2
South Korea,Short Track,BRONZE,2
Liechtenstein,Alpine Skiing,SILVER,2
Russia,Gymnastics Rhythmic,BRONZE,2
South Africa,Tennis,GOLD,2
South Africa,Cycling Track,BRONZE,2
Slovenia,Snowboard,SILVER,2
Slovenia,Ski Jumping,GOLD,2
Slovenia,Alpine Skiing,GOLD,2
Slovenia,Ski Jumping,BRONZE,2
Slovenia,Shooting,BRONZE,2
Slovenia,Sailing,SILVER,2
Slovenia,Judo,GOLD,2
Slovenia,Cross Country Skiing,BRONZE,2
Slovenia,Canoe Slalom,SILVER,2
Slovenia,Athletics,SILVER,2
Russia,Rowing,BRONZE,2
Switzerland,Judo,BRONZE,2
Switzerland,Skeleton,BRONZE,2
North Korea,Wrestling,SILVER,2
Switzerland,Snowboard,SILVER,2
Norway,Rowing,BRONZE,2
Norway,Rowing,GOLD,2
Unified Team,Shooting,SILVER,2
Unified Team,Judo,GOLD,2
Unified Team,Judo,BRONZE,2
Unified Team,Figure skating,GOLD,2
Unified Team,Fencing,SILVER,2
Unified Team,Diving,SILVER,2
Unified Team,Cross Country Skiing,SILVER,2
Unified Team,Cross Country Skiing,GOLD,2
Unified Team,Biathlon,GOLD,2
Unified Team,Archery,BRONZE,2
Ukraine,Weightlifting,GOLD,2
Ukraine,Weightlifting,BRONZE,2
Norway,Taekwondo,SILVER,2
Norway,Wrestling,BRONZE,2
Norway,Wrestling,SILVER,2
Panama,Athletics,BRONZE,2
Peru,Shooting,SILVER,2
United Kingdom,Archery,GOLD,2
United Kingdom,Archery,SILVER,2
United Kingdom,Canoe Slalom,GOLD,2
United Kingdom,Figure skating,SILVER,2
United Kingdom,Snowboard,BRONZE,2
United Kingdom,Rackets,BRONZE,2
United Kingdom,Polo,SILVER,2
United Kingdom,Modern Pentathlon,SILVER,2
United Kingdom,Modern Pentathlon,BRONZE,2
United Kingdom,Marathon Swimming,SILVER,2
United Kingdom,Hockey,BRONZE,2
United Kingdom,Gymnastics Artistic,GOLD,2
Norway,Boxing,BRONZE,2
Norway,Freestyle Skiing,SILVER,2
Norway,Boxing,SILVER,2
United Kingdom,Equestrian Jumping,SILVER,2
United Kingdom,Equestrian Eventing,SILVER,2
United Kingdom,Equestrian Eventing,GOLD,2
United Kingdom,Equestrian Dressage,GOLD,2
United Kingdom,Diving,SILVER,2
Norway,Cycling Road,BRONZE,2
United Kingdom,Cycling Road,GOLD,2
Philippines,Athletics,BRONZE,2
Ukraine,Swimming,BRONZE,2
Ukraine,Shooting,SILVER,2
Taiwan,Archery,SILVER,2
Thailand,Taekwondo,SILVER,2
Tanzania,Athletics,SILVER,2
Portugal,Sailing,BRONZE,2
Portugal,Sailing,SILVER,2
Taiwan,Weightlifting,SILVER,2
Taiwan,Taekwondo,GOLD,2
Qatar,Athletics,SILVER,2
Taiwan,Table Tennis,BRONZE,2
Switzerland,Weightlifting,SILVER,2
Poland,Swimming,BRONZE,2
Switzerland,Weightlifting,BRONZE,2
Romania,Canoe Sprint,SILVER,2
Romania,Fencing,BRONZE,2
Switzerland,Triathlon,GOLD,2
Switzerland,Triathlon,BRONZE,2
Switzerland,Tennis,SILVER,2
Switzerland,Tennis,GOLD,2
Romania,Judo,SILVER,2
Thailand,Weightlifting,SILVER,2
Poland,Speed skating,SILVER,2
Philippines,Swimming,BRONZE,2
Poland,Fencing,SILVER,2
Ukraine,Gymnastics Artistic,SILVER,2
Poland,Canoe Sprint,SILVER,2
Poland,Cross Country Skiing,BRONZE,2
Poland,Cross Country Skiing,GOLD,2
Poland,Cycling Mountain Bike,SILVER,2
Ukraine,Cycling Track,BRONZE,2
Poland,Cycling Road,BRONZE,2
Poland,Fencing,BRONZE,2
Poland,Judo,BRONZE,2
Trinidad and Tobago,Weightlifting,BRONZE,2
Poland,Modern Pentathlon,GOLD,2
Uganda,Athletics,BRONZE,2
Türkiye,Weightlifting,BRONZE,2
Türkiye,Athletics,BRONZE,2
Tunisia,Swimming,GOLD,2
Tunisia,Boxing,BRONZE,2
Tunisia,Athletics,SILVER,2
Tunisia,Athletics,GOLD,2
Ukraine,Athletics,GOLD,2
