country_name,medal_type,game_season,athlete_full_name,age_at_medal
Unified Team,BRONZE,Summer,Dmitry SAUTIN,18.0
Unified Team,BRONZE,Winter,Elena VAELBE TRUBITSINA,24.0
Unified Team,GOLD,Summer,Elena RUDKOVSKAYA,19.0
Unified Team,GOLD,Winter,Natalya MISHKUTYONOK,22.0
Unified Team,SILVER,Summer,Elena MIROSHINA,18.0
Unified Team,SILVER,Winter,Yelizaveta KOZHEVNIKOVA,19.0
United Arab Emirates,BRONZE,Summer,Sergiu TOMA,29.0
United Arab Emirates,GOLD,Summer,Shaikh Ahmed ALMAKTOUM,41.0
United Republic of Tanzania,SILVER,Summer,Suleiman NYAMBUI,27.0
United States of America,BRONZE,Summer,William NELSON,-80.0
United States of America,BRONZE,Winter,Scott ALLEN,15.0
United States of America,GOLD,Summer,John SMITH,-2.0
United States of America,GOLD,Winter,Tara LIPINSKI,16.0
United States of America,SILVER,Summer,Gary Jr. HALL,-6.0
United States of America,SILVER,Winter,Edward MURPHY,-39.0
Uruguay,BRONZE,Summer,Washington RODRIGUEZ,20.0
Uruguay,SILVER,Summer,Eduardo G. RISSO,23.0
Uzbekistan,BRONZE,Summer,Rishod SOBIROV,22.0
Uzbekistan,GOLD,Summer,Akbar DJURAEV,21.0
Uzbekistan,GOLD,Winter,Lina CHERYAZOVA,26.0
Uzbekistan,SILVER,Summer,Bektemir MELIKUZIEV,20.0
Venezuela,BRONZE,Summer,Rafael Antonio VIDAL CASTRO,20.0
Venezuela,GOLD,Summer,Francisco BRITO,23.0
Venezuela,SILVER,Summer,Yoel Segundo FINOL,20.0
Vietnam,GOLD,Summer,Xuan Vinh HOANG,42.0
Vietnam,SILVER,Summer,Anh Tuan HOANG,23.0
"Virgin Islands, US",SILVER,Summer,Peter HOLMBERG,28.0
West Indies Federation,BRONZE,Summer,George Ezekiel KERR,23.0
Yugoslavia,BRONZE,Summer,Jasna REED,18.0
Yugoslavia,BRONZE,Winter,Matjaz DEBELAK,23.0
Yugoslavia,GOLD,Summer,Saban TRSTENA,19.0
Yugoslavia,SILVER,Summer,Zoran PRIMORAC,19.0
Yugoslavia,SILVER,Winter,Mateja SVET,20.0
Zambia,SILVER,Summer,Samuel MATETE,28.0
Zimbabwe,BRONZE,Summer,Kirsty Leigh COVENTRY,21.0
Zimbabwe,GOLD,Summer,Kirsty Leigh COVENTRY,21.0
Zimbabwe,SILVER,Summer,Kirsty Leigh COVENTRY,21.0
