converted_country_name,event_gender,medal_type,medal_count
Unified Team,Women,SILVER,16
Ukraine,Women,GOLD,16
United States,Open,BRONZE,16
Brazil,Men,GOLD,16
France,Open,GOLD,16
North Korea,Men,BRONZE,16
Belarus,Women,BRONZE,16
Estonia,Men,BRONZE,15
Spain,Women,BRONZE,15
Unified Team,Men,BRONZE,15
Yugoslavia,Men,GOLD,15
Denmark,Women,BRONZE,15
Poland,Women,GOLD,15
Jamaica,Women,BRONZE,15
Argentina,Men,BRONZE,15
Yugoslavia,Men,SILVER,15
Argentina,Men,SILVER,15
Belarus,Women,SILVER,14
Jamaica,Women,SILVER,14
United Kingdom,Open,BRONZE,14
Denmark,Men,GOLD,14
Bulgaria,Women,GOLD,14
Egypt,Men,BRONZE,14
Norway,Open,GOLD,14
Kenya,Women,SILVER,14
United Kingdom,Open,SILVER,13
Ethiopia,Men,GOLD,13
Ukraine,Women,SILVER,13
Unified Team,Women,BRONZE,13
Unified Team,Women,GOLD,13
Kazakhstan,Women,BRONZE,13
Sweden,Open,SILVER,13
Mongolia,Men,BRONZE,13
Kazakhstan,Men,GOLD,13
Jamaica,Men,SILVER,12
Latvia,Men,SILVER,12
New Zealand,Women,GOLD,12
Russia,Open,GOLD,12
Belgium,Women,BRONZE,12
Georgia,Men,SILVER,12
Russia,Open,SILVER,12
Jamaica,Men,GOLD,12
Croatia,Men,SILVER,12
Ethiopia,Men,BRONZE,12
France,Open,SILVER,12
Slovenia,Men,SILVER,12
Jamaica,Women,GOLD,11
Slovenia,Women,BRONZE,11
Argentina,Men,GOLD,11
Azerbaijan,Men,SILVER,11
Taiwan,Women,BRONZE,11
Russia,Open,BRONZE,11
Ireland,Men,BRONZE,11
Belarus,Women,GOLD,11
Finland,Women,GOLD,11
Sweden,Open,BRONZE,10
Uzbekistan,Men,GOLD,10
Mexico,Women,BRONZE,10
Ethiopia,Women,BRONZE,10
Trinidad and Tobago,Men,BRONZE,10
Egypt,Men,SILVER,10
Thailand,Women,BRONZE,10
Spain,Women,GOLD,10
Ethiopia,Women,GOLD,10
